id,name,score,image,created_at
1,i,101601,i.png,2025-12-16T02:45:58.853Z
2,ii,111958,ii.png,2025-12-16T02:46:19.156Z
3,miki,106070,miki.png,2025-12-16T04:34:30.051Z
4,kati,112794,kati.png,2025-12-16T04:34:52.114Z
5,miki,113703,miki_1.png,2025-12-22T01:39:47.418Z
6,abetarou,95860,abetarou.png,2025-12-22T01:56:43.119Z
7,ぬぬう,472224,ぬぬう.png,2026-01-07T23:56:04.852Z
8,ふみこ,351452,ふみこ.png,2026-01-07T23:56:32.736Z
9,kyu,292446,kyu.png,2026-01-14T00:03:48.698Z
10,pn,265149,pn.png,2026-01-22T02:47:53.616Z
11,om,404907,om.png,2026-01-22T02:48:19.429Z
12,pp,358987,pp.png,2026-01-22T02:49:07.717Z
13,",;",502936,player.png,2026-01-22T02:49:26.585Z
14,klk,523696,klk.png,2026-01-22T02:52:37.472Z
15,ok,513126,ok.png,2026-01-22T02:53:01.729Z
